"Célia";"0603,1122"
"Celina";"0717,1011,1021"
"Cene"
"Cettina";"0717,1011,1021"
"Cézár";"0112,0225,0325,0415,0827,0829,0925"
"Cezarin";"0112"
"Cezarina";"0112"
"Cicelle";"0603,1122"
"Ciceró";"0209"
"Cika"
"Ciklámen";"1126,1204,1205"
"Cikó"
"Cilla";"0603,1122"
"Cinella";"0201,0612"
"Cinka"
"Cinke"
"Cinna";"0201,0612"
"Cinnia";"0201,0612"
"Cintia";"0122,0606,1020"
"Cipora";"0705,0926"
"Cippóra";"0705,0926"
"Ciprián";"0916,0926"
"Cipriána";"0705,0926"
"Ciprienn";"0705,0926"
"Cirill";"0209,0318,0329,0707,0717"
"Cirilla";"0705,0707,1028"
"Cirják";"0316,0808"
"Cirjék";"0316,0808"
"Círus";"0131,0616,0628"
"Citta";"0122,0606,1020"
"Cobor"
"Csáb"
"Csaba";"0412,0706,1006,1205"
"Csaga"
"Csák";"0320,1011"
"Csala"
"Csanád";"0412,0528,0906,1205"
"Csát";"0406"
"Csatád";"0525,0708"
"Csatár";"0708,0729"
"Csató";"0708"
"Csedő"
"Csege";"0715"
"Csegő";"0715"
"Csejte"
"Cseke";"0826,1031"
"Csekő";"0826,1031"
"Csele"
"Csellőke"
"Cseme"
"Csende";"0711,1118"
"Csendike";"0711,1118"
"Csenge";"0204,0724"
"Csengele";"0204,0724"
"Csenger";"1107"
"Csente"
"Csépán";"0816,0902"
"Csepel";"0524,1212"
"Cseperke";"0301,0807"
"Csepke";"0301,0807"
"Csere"
"Cserjén";"1025"
"Cserne";"0510"
"Csete"
"Csikó";"0131,0510"
"Csílár"
"Csilla";"0322,0422,0602,0810,1122"
"Csillag";"0322,0810"
"Csillavér"
"Csinos"
"Csinszka";"0203,1206"
"Csiperke";"0301"
"Csitki"
"Csobád";"0412,0424,0706,1006,1205"
"Csobaj"
"Csobán";"0806,0903,0908"
"Csobánka";"0806"
"Csobilla";"0806"
"Csobor"
"Csolt";"0308,0313"
"Csoma";"0101,0409"
"Csombor";"0101,0409"
"Csomor";"0101,0409"
"Csongor";"0113,0416,0417"
"Csorna"
"Csögle"
"Csömödér"
"Csömör"
"Csönge"
"Csöpi"
"Csöre";"1119"
"Csörke"
"Csörsz";"0131,0510"
"Dabas"
"Dafna";"1025"
"Dafné";"1025"
"Dagobert";"1223"
"Dagomér";"1223"
"Dakó";"0301,0626,1229,1230"
"Dalamér"
"Dalbert";"1223"
"Dalia";"0105,0627"
"Dália";"1025"
"Dalibor";"0725"
"Dalida";"0721"
"Dallasz"
"Dalló"
"Dalma";"0507,0512,0712,1205"
"Dalton";"0105,0627"
"Damarisz";"1004"
"Damasa"
"Damáz";"1211"
"Damján";"0926,0927"
"Damos";"0926,0927"
"Dana";"0721"
"Dancs"
"Dániel";"0116,0216,0721,0724,1010,1123,1211"
"Daniéla";"0721"
"Daniella";"0721"
"Danila";"0721"
"Daniló";"0216,0721,0724,1010,1123,1211"
"Dános";"0216,0721,0724,1010,1123,1211"
"Dante"
"Danub"
"Danuta";"0721"
"Dára";"0224,1025,1231"
"Dária";"1025"
"Darina";"0224,1231"
"Darinka";"0224,1231"
"Dárió";"1025,1219"
"Dárius";"1025,1219"
"Darrell";"0216,0721,0926"
"Darvas"
"Dávid";"0301,1229,1230"
"Dea";"0620,0731"
"Debóra";"0424,0915"
"Décse";"0225,0226,0508,0806"
"Dédes"
"Dejtár"
"Dejte";"0420"
"Delani"
"Deláni"
"Delbár"
"Délceg"
"Dele"
"Deli";"0105,0627"
"Délia";"0122,0606,1020"
